JobNum,LotNum,DrawNum,PartDescription,TranQty,QtyCompleted,PhaseID,OrigProdQty,AQLAmount,AQLforTranQty
3492-01-1,NV10200,1541900,5.5 Poly Tulip 5.5 Ti,27.0,549.0,Tulip,500.0,29.0,1.42623
3492-01-1,NV10458,1541901,5.5mm Load Ring Ti,27.0,550.0,Load Ring,500.0,29.0,1.423636
3492-01-1,NV14430,1567720,6.5 x 50mm Fenestrated Shank,27.0,83.0,Shank,25.0,13.0,4.228916
3492-01-1,NV14629,1541902,"Deformity Poly Split Ring, Ti",27.0,604.0,Clip/Split Ring,500.0,29.0,1.296358
3492-02-1,NV10937,1553262,5.5mm Precept  Polyaxial Tulip,220.0,550.0,Tulip,500.0,29.0,11.6
3492-02-1,NV11089,1563206,Precept Solid Ring Threaded,220.0,1098.0,Clip/Split Ring,1000.0,34.0,6.812386
3492-02-1,NV11322,1553275,5.5 Precept Load Ring,220.0,550.0,Load Ring,500.0,29.0,11.6
3492-02-1,NV11435,1557480,6.5 x 45mm Precept Poly SR Shank,220.0,220.0,Shank,200.0,20.0,20.0
3492-03-1,NV12112,1582025,Precept Poly C.R. Tulip,53.0,550.0,Tulip,200.0,20.0,1.927273
3492-03-1,NV13520,1590480,7.5 x 50mm Precept Screw Shank,53.0,275.0,Shank,250.0,20.0,3.854545
3492-03-1,NV14211,1582022,Precept Poly Clip Ring,53.0,1320.0,Clip/Split Ring,1000.0,34.0,1.365152
3492-03-1,NV14435,1582023,Precept Poly C.R. Load Ring,53.0,550.0,Load Ring,500.0,29.0,2.794545
3492-04-1,NV10468,1563206,Precept Solid Ring Threaded,130.0,1099.0,Clip/Split Ring,1000.0,34.0,4.021838
3492-04-1,NV10748,1553269,Precept Breakoff Tulip,130.0,274.0,Tulip,250.0,20.0,9.489051
3492-04-1,NV10764,1557480,6.5 x 45mm Precept Poly SR Shank,130.0,220.0,Shank,200.0,20.0,11.818182
3492-04-1,NV11445,1553268,Precept Breakoff Extension,130.0,274.0,Extension,250.0,20.0,9.489051
