JobNum,LotNum,DrawNum,PartDescription,TranQty,QtyCompleted,PhaseID,OrigProdQty,AQLAmount,AQLforTranQty
3582-01-1,NV10468,1563206,Precept Solid Ring Threaded,30.0,1099.0,Clip/Split Ring,1000.0,34.0,0.928116
3582-01-1,NV10778,1553275,5.5 Precept Load Ring,30.0,1100.0,Load Ring,1000.0,34.0,0.927273
3582-01-1,NV10937,1553262,5.5mm Precept  Polyaxial Tulip,30.0,550.0,Tulip,500.0,29.0,1.581818
3582-01-1,NV11871,1557480,6.5 x 50mm Precept Poly SR Shank,30.0,220.0,Shank,200.0,20.0,2.727273
3582-01-2,NV11085,1563206,Precept Solid Ring Threaded,83.0,1100.0,Clip/Split Ring,1000.0,34.0,2.565455
3582-01-2,NV11322,1553275,5.5 Precept Load Ring,83.0,550.0,Load Ring,500.0,29.0,4.376364
3582-01-2,NV11406,1553262,5.5mm Precept  Polyaxial Tulip,83.0,550.0,Tulip,500.0,29.0,4.376364
3582-01-2,NV14656,1557480,6.5 x 50mm Precept Poly SR Shank,83.0,105.0,Shank,70.0,13.0,10.27619
3582-02-1,NV12164,1590480,7.5 x 40mm Precept Screw Shank,27.0,274.0,Shank,250.0,20.0,1.970803
3582-02-1,NV14649,1582023,Precept Poly C.R. Load Ring,27.0,550.0,Load Ring,500.0,29.0,1.423636
3582-02-1,NV14657,1582022,Precept Poly Clip Ring,27.0,1637.0,Clip/Split Ring,1000.0,34.0,0.560782
3582-02-1,NV14670,1582025,Precept Poly C.R. Tulip,27.0,650.0,Tulip,500.0,29.0,1.204615
3582-03-1,NV12108,1582025,Precept Poly C.R. Tulip,192.0,550.0,Tulip,500.0,29.0,10.123636
3582-03-1,NV14641,1582022,Precept Poly Clip Ring,192.0,1100.0,Clip/Split Ring,1000.0,34.0,5.934545
3582-03-1,NV14642,1582023,Precept Poly C.R. Load Ring,192.0,580.0,Load Ring,500.0,29.0,9.6
3582-03-1,NV14643,1590480,7.5 x 45mm Precept Screw Shank,192.0,275.0,Shank,40.0,13.0,9.076364
3582-04-1,NV12108,1582025,Precept Poly C.R. Tulip,82.0,550.0,Tulip,500.0,29.0,4.323636
3582-04-1,NV13520,1590480,7.5 x 50mm Precept Screw Shank,82.0,275.0,Shank,250.0,20.0,5.963636
3582-04-1,NV14211,1582022,Precept Poly Clip Ring,82.0,1320.0,Clip/Split Ring,1000.0,34.0,2.112121
3582-04-1,NV14437,1582023,Precept Poly C.R. Load Ring,82.0,550.0,Load Ring,500.0,29.0,4.323636
3582-05-1,NV10419,1557480,6.5 x 40mm Precept Poly SR Shank,27.0,248.0,Shank,225.0,20.0,2.177419
3582-05-1,NV10468,1563206,Precept Solid Ring Threaded,27.0,1099.0,Clip/Split Ring,1000.0,34.0,0.835305
3582-05-1,NV10747,1553269,Precept Breakoff Tulip,30.0,275.0,Tulip,250.0,20.0,2.181818
