JobNum,LotNum,DrawNum,PartDescription,TranQty,QtyCompleted,PhaseID,OrigProdQty,AQLAmount,AQLforTranQty
003664-10-1,NV12270,1614500,5.5 x 40mm PRECEPT Fenestrated Screw Shank,40.0,276.0,Shank,250.0,20.0,2.898551
003664-10-1,NV15612,1582025,Precept Poly C.R. Tulip,40.0,650.0,Tulip,500.0,29.0,1.784615
003664-10-1,nv15617,1582022,Precept Poly Clip Ring,40.0,1495.0,Clip/Split Ring,1000.0,34.0,0.909699
Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring
003664-10-2,nv15280,1582025,Precept Poly C.R. Tulip,39.0,564.0,Tulip,500.0,29.0,2.005319
003664-10-2,NV15617,1582022,Precept Poly Clip Ring,39.0,1495.0,Clip/Split Ring,1000.0,34.0,0.886957
Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring
003664-10-2,nv15696,1614500,5.5 x 40mm PRECEPT Fenestrated Screw Shank,34.0,34.0,Shank,26.0,13.0,13.0
003664-1-1,nv10498,1541900,5.5 Poly Tulip 5.5 Ti,27.0,529.0,Tulip,500.0,29.0,1.480151
003664-1-1,NV11146,1541901,5.5mm Load Ring Ti,27.0,556.0,Load Ring,500.0,29.0,1.408273
003664-1-1,NV15215,1541902,"Deformity Poly Split Ring, Ti",27.0,1024.0,Clip/Split Ring,500.0,29.0,0.764648
003664-1-1,NV15614,1567700,5.5 x 40mm Fenestrated Shank,28.0,28.0,Shank,25.0,13.0,13.0
003664-11-1,nv15280,1582025,Precept Poly C.R. Tulip,80.0,564.0,Tulip,500.0,29.0,4.113475
003664-11-1,nv15302,1614500,5.5 x 45mm PRECEPT Fenestrated Screw Shank,77.0,236.0,Shank,155.0,20.0,6.525424
003664-11-1,nv15617,1582022,Precept Poly Clip Ring,77.0,1495.0,Clip/Split Ring,1000.0,34.0,1.751171
Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring
003664-12-1,nv15612,1582025,Precept Poly C.R. Tulip,27.0,650.0,Tulip,500.0,29.0,1.204615
003664-12-1,nv15617,1582022,Precept Poly Clip Ring,27.0,1495.0,Clip/Split Ring,1000.0,34.0,0.614047
Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring
003664-12-1,nv15626,1614500,5.5 x 55mm PRECEPT Fenestrated Screw Shank,28.0,28.0,Shank,25.0,13.0,13.0
003664-13-1,NV15612,1582025,Precept Poly C.R. Tulip,33.0,650.0,Tulip,500.0,29.0,1.472308
003664-13-1,nv15617,1582022,Precept Poly Clip Ring,33.0,1495.0,Clip/Split Ring,1000.0,34.0,0.750502
Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring,Load Ring
003664-13-1,NV15627,1614560,6.5 x 40mm PRECEPT Fenestrated Screw Shank,33.0,33.0,Shank,30.0,13.0,13.0
003664-13-2,NV11265,1614560,6.5 x 40mm PRECEPT Fenestrated Screw Shank,11.0,248.0,Shank,200.0,20.0,0.887097
003664-13-2,NV14641,1582022,Precept Poly Clip Ring,11.0,1100.0,Clip/Split Ring,1000.0,34.0,0.34
003664-13-2,NV14659,1582023,Precept Poly C.R. Load Ring,12.0,862.0,Load Ring,500.0,29.0,0.403712
003664-13-2,nv15611,1582025,Precept Poly C.R. Tulip,10.0,700.0,Tulip,500.0,29.0,0.414286
003664-13-3,NV11266,1614560,6.5 x 40mm PRECEPT Fenestrated Screw Shank,9.0,143.0,Shank,110.0,13.0,0.818182
