"LotNum","DrawNum","Description","SumTranQTY","SumQtyCompleted","PhaseID","SumAQLAttributed","SUMAQLAmountUpperLim"
AL0472,"15004-06","Cam, Polyaxial Screw, Bottom Loading",85.00000000,4400.00000000,Cam,2.627273,136.00000000
AL0606,"15004-07","Polyaxial Bushing, Friction Fit",85.00000000,1686.00000000,Load,5.969465,107.00000000
AL0412,"15004-04-XXX-XXX","9.5 x 40mm Bone Screw",85.00000000,147.00000000,Shank,40.253333,51.00000000
AL0455,"15004-05",Bottom Loading Body,85.00000000,1852.00000000,Tulip,5.187196,107.00000000
