"LotNum","DrawNum","Description","SumTranQTY","SumQtyCompleted","PhaseID","SumAQLAttributed","SUMAQLAmountUpperLim"
AL0493,"15004-07","Polyaxial Bushing, Friction Fit",668.00000000,2996.00000000,Load,38.866662,174.00000000
AL0584,"15004-03-0XX-XXX","6.0 x 30mm Bone Screw",668.00000000,682.00000000,Shank,76.896970,78.00000000
AL0492,"15004-01",Top Loading Body,668.00000000,2244.00000000,Tulip,51.088150,156.00000000
