JobNum,LotNum,DrawNum,PartDescription,TranQty,QtyCompleted,PhaseID,OrigProdQty,AQLAmount,AQLforTranQty
003663-10-1,NV14474,1722000,4.5 x 30mm .265 Solid Cancellous Shank,146.0,283.0,Shank,30.0,13.0,6.706714
003663-10-1,NV15285,1773780,RSS Polyaxial Screw Tulip,160.0,550.0,Tulip,500.0,29.0,8.436364
003663-10-1,nv15290,1773788,RSS Load Ring,160.0,1553.0,Load Ring,1000.0,34.0,3.502898
003663-10-1,NV15328,1773781,RSS Clip Ring Formed,160.0,1098.0,Clip/Split Ring,1000.0,34.0,4.954463
003663-1-1,NV15231,1773788,RSS Load Ring,138.0,1097.0,Load Ring,1000.0,34.0,4.277119
003663-1-1,nv15284,1773780,RSS Polyaxial Screw Tulip,138.0,550.0,Tulip,500.0,29.0,7.276364
003663-1-1,NV15287,1773781,RSS Clip Ring Formed,134.0,1100.0,Clip/Split Ring,1000.0,34.0,4.141818
003663-1-1,NV15336,1722000,4.0 x 20mm .265 Solid Cancellous Shank,134.0,134.0,Shank,125.0,13.0,13.0
003663-11-1,nv15244,1722000,4.5 x 35mm .265 Solid Cancellous Shank,110.0,217.0,Shank,25.0,13.0,6.589862
003663-11-1,nv15284,1773780,RSS Polyaxial Screw Tulip,110.0,550.0,Tulip,500.0,29.0,5.8
003663-11-1,nv15287,1773781,RSS Clip Ring Formed,110.0,1100.0,Clip/Split Ring,1000.0,34.0,3.4
003663-11-1,nv15290,1773788,RSS Load Ring,110.0,1553.0,Load Ring,1000.0,34.0,2.408242
003663-12-1,NV13546,1722000,5.0 x 20mm .265 Solid Cancellous Shank,27.0,550.0,Shank,500.0,29.0,1.423636
Clip/Split Ring,Clip/Split Ring,Clip/Split Ring,Clip/Split Ring,Clip/Split Ring,Clip/Split Ring,Clip/Split Ring,Clip/Split Ring,Clip/Split Ring,Clip/Split Ring
003663-12-1,nv15377,1773780,RSS Polyaxial Screw Tulip,27.0,550.0,Tulip,500.0,29.0,1.423636
003663-12-1,nv15602,1773788,RSS Load Ring,27.0,1105.0,Load Ring,1000.0,34.0,0.830769
003663-13-1,NV15287,1773781,RSS Clip Ring Formed,31.0,1100.0,Clip/Split Ring,1000.0,34.0,0.958182
003663-13-1,nv15289,1773788,RSS Load Ring,27.0,1097.0,Load Ring,1000.0,34.0,0.836828
003663-13-1,NV15313,1722000,5.0 x 22.5mm .265 Solid Cancellous Shank,27.0,140.0,Shank,25.0,13.0,2.507143
003663-13-1,NV15332,1773780,RSS Polyaxial Screw Tulip,27.0,549.0,Tulip,500.0,29.0,1.42623
