JobNum,LotNum,DrawNum,PartDescription,TranQty,QtyCompleted,PhaseID,OrigProdQty,AQLAmount,AQLforTranQty
3500-01-1,NV11907,1722000,4.0 x 20mm .265 Solid Cancellous Shank,17.0,176.0,Shank,160.0,20.0,1.931818
3500-01-1,NV14170,1773781,RSS Clip Ring Formed,17.0,1096.0,Clip/Split Ring,470.0,29.0,0.449818
3500-01-1,NV14172,1773788,RSS Load Ring,17.0,1120.0,Load Ring,400.0,29.0,0.440179
3500-01-1,NV14201,1773780,RSS Polyaxial Screw Tulip,17.0,548.0,Tulip,500.0,29.0,0.899635
3500-01-2,NV11906,1722000,4.0 x 20mm .265 Solid Cancellous Shank,12.0,174.0,Shank,160.0,20.0,1.37931
3500-01-2,NV14172,1773788,RSS Load Ring,12.0,1120.0,Load Ring,400.0,29.0,0.310714
3500-01-2,NV14201,1773780,RSS Polyaxial Screw Tulip,12.0,548.0,Tulip,500.0,29.0,0.635036
3500-01-2,NV14615,1773781,RSS Clip Ring Formed,12.0,1095.0,Clip/Split Ring,1000.0,34.0,0.372603
3500-02-1,NV13539,1722000,4.5 x 25mm .265 Solid Cancellous Shank,75.0,275.0,Shank,250.0,20.0,5.454545
3500-02-1,NV14169,1773781,RSS Clip Ring Formed,75.0,1098.0,Clip/Split Ring,1000.0,34.0,2.322404
3500-02-1,NV14171,1773788,RSS Load Ring,75.0,1154.0,Load Ring,1000.0,34.0,2.209705
3500-02-1,NV14463,1773780,RSS Polyaxial Screw Tulip,75.0,260.0,Tulip,203.0,20.0,5.769231
3500-03-1,NV13539,1722000,4.5 x 25mm .265 Solid Cancellous Shank,46.0,275.0,Shank,250.0,20.0,3.345455
3500-03-1,NV14172,1773788,RSS Load Ring,46.0,1120.0,Load Ring,400.0,29.0,1.191071
3500-03-1,NV14613,1773780,RSS Polyaxial Screw Tulip,46.0,557.0,Tulip,500.0,29.0,2.394973
3500-03-1,NV14615,1773781,RSS Clip Ring Formed,46.0,1095.0,Clip/Split Ring,1000.0,34.0,1.428311
