"LotNum","DrawNum","Description","SumTranQTY","SumQtyCompleted","PhaseID","SumAQLAttributed","SUMAQLAmountUpperLim"
AL0537,"18000-02",Bushing,1117.00000000,12341.00000000,Bushing,61.175885,669.00000000
AL0501,"18000-03-XX-XX","3.5 x 10mm Screw Shank",1113.00000000,3013.00000000,Shank,120.810206,321.00000000
AL0525,"18010-01","Polyaxial Tulip, CC Favored Angle",1115.00000000,9237.00000000,Tulip,74.152041,565.00000000
