JobNum,LotNum,DrawNum,PartDescription,TranQty,QtyCompleted,PhaseID,OrigProdQty,AQLAmount,AQLforTranQty
3497-01-2,NV13007,1751200,5.5 x 50mm Cannulated Cancellous Shank,40.0,68.0,Shank,25.0,13.0,7.647059
3497-01-2,NV13687,1642646,Reline Breakoff Extension,40.0,275.0,Extension,250.0,20.0,2.909091
3497-01-2,NV13727,1642652,Reline MAS Reduction Tulip Base,40.0,274.0,Tulip,250.0,20.0,2.919708
3497-01-2,NV14174,1642661,Reline Poly Load Ring,40.0,1100.0,Load Ring,1000.0,34.0,1.236364
3497-01-2,NV14394,1642666,Reline Clip Ring Flat,44.0,1100.0,Clip/Split Ring,1000.0,34.0,1.36
3497-01-3,NV13633,1751200,5.5 x 50mm Cannulated Cancellous Shank,20.0,275.0,Shank,250.0,20.0,1.454545
3497-01-3,NV13873,1642652,Reline MAS Reduction Tulip Base,19.0,275.0,Tulip,250.0,20.0,1.381818
3497-01-3,NV14106,1642646,Reline Breakoff Extension,19.0,275.0,Extension,250.0,20.0,1.381818
3497-01-3,NV14174,1642661,Reline Poly Load Ring,20.0,1100.0,Load Ring,1000.0,34.0,0.618182
3497-01-3,NV14395,1642666,Reline Clip Ring Flat,19.0,1099.0,Clip/Split Ring,1000.0,34.0,0.587807
3497-01-5,NV14383,1642652,Reline MAS Reduction Tulip Base,39.0,275.0,Tulip,250.0,20.0,2.836364
3497-01-5,NV14389,1642646,Reline Breakoff Extension,39.0,275.0,Extension,250.0,20.0,2.836364
3497-01-5,NV14395,1642666,Reline Clip Ring Flat,39.0,1099.0,Clip/Split Ring,1000.0,34.0,1.206551
3497-01-5,NV14432,1642661,Reline Poly Load Ring,40.0,1158.0,Load Ring,1000.0,34.0,1.174439
3497-01-5,NV14449,1751200,5.5 x 50mm Cannulated Cancellous Shank,39.0,39.0,Shank,34.0,13.0,13.0
3497-02-1,NV14364,1751200,5.5 x 55mm Cannulated Cancellous Shank,248.0,275.0,Shank,25.0,13.0,11.723636
3497-02-1,NV14431,1642661,Reline Poly Load Ring,246.0,1100.0,Load Ring,1000.0,34.0,7.603636
3497-02-1,NV14434,1642666,Reline Clip Ring Flat,246.0,1308.0,Clip/Split Ring,1000.0,34.0,6.394495
3497-02-1,NV14686,1642652,Reline MAS Reduction Tulip Base,246.0,275.0,Tulip,250.0,20.0,17.890909
3497-02-1,NV14696,1642646,Reline Breakoff Extension,246.0,274.0,Extension,250.0,20.0,17.956204
3497-03-1,nv14369,1751200,7.5 x 45mm Cannulated Cancellous Shank,179.0,274.0,Shank,250.0,20.0,13.065693
3497-03-1,nv14620,1642666,Reline Clip Ring Flat,179.0,1140.0,Clip/Split Ring,1000.0,34.0,5.338596
3497-03-1,NV14680,1642661,Reline Poly Load Ring,180.0,1478.0,Load Ring,1000.0,34.0,4.140731
3497-03-1,NV14690,1642652,Reline MAS Reduction Tulip Base,179.0,275.0,Tulip,250.0,20.0,13.018182
