"LotNum","DrawNum","Description","SumTranQTY","SumQtyCompleted","PhaseID","SumAQLAttributed","SUMAQLAmountUpperLim"
AL0534,"18000-02",Bushing,3799.00000000,36852.00000000,Bushing,203.899237,1954.00000000
AL0599,"18000-02",Bushing,236.00000000,4193.00000000,Bushings,13.395659,238.00000000
AL0580,"18000-05","Cam, Polyaxial Screw, Bottom Loading",511.00000000,2600.00000000,Screw,35.733333,180.00000000
AL0501,"18000-03-XX-XX","3.5 x 10mm Screw Shank",4054.00000000,7696.00000000,Shank,649.474022,1038.00000000
AL0528,"18000-01","Cam, Polyaxial Screw, Bottom Loading",4067.00000000,41076.00000000,Tulip,216.076245,2168.00000000
